Date,Open,High,Low,Close
04/03/2025,"0.5747","0.5853","0.5683","0.5794"
04/02/2025,"0.5701","0.5779","0.5697","0.5748"
04/01/2025,"0.5677","0.5705","0.5662","0.5700"
03/31/2025,"0.5716","0.5724","0.5648","0.5678"
03/28/2025,"0.5741","0.5746","0.5710","0.5719"
03/27/2025,"0.5735","0.5756","0.5712","0.5740"
03/26/2025,"0.5734","0.5763","0.5715","0.5730"
03/25/2025,"0.5729","0.5751","0.5711","0.5733"
03/24/2025,"0.5729","0.5750","0.5710","0.5730"
03/21/2025,"0.5757","0.5768","0.5725","0.5733"
03/20/2025,"0.5815","0.5827","0.5723","0.5758"
03/19/2025,"0.5821","0.5821","0.5775","0.5816"
03/18/2025,"0.5821","0.5832","0.5797","0.5820"
03/17/2025,"0.5741","0.5827","0.5741","0.5820"
03/14/2025,"0.5698","0.5757","0.5691","0.5748"
03/13/2025,"0.5723","0.5743","0.5682","0.5697"
03/12/2025,"0.5716","0.5734","0.5697","0.5730"
03/11/2025,"0.5699","0.5727","0.5677","0.5706"
03/10/2025,"0.5711","0.5743","0.5690","0.5700"
03/07/2025,"0.5735","0.5742","0.5693","0.5709"
03/06/2025,"0.5727","0.5757","0.5719","0.5736"
03/05/2025,"0.5666","0.5732","0.5637","0.5728"
03/04/2025,"0.5617","0.5667","0.5596","0.5665"
03/03/2025,"0.5594","0.5640","0.5594","0.5616"
02/28/2025,"0.5634","0.5636","0.5586","0.5598"
02/27/2025,"0.5696","0.5702","0.5629","0.5632"
02/26/2025,"0.5726","0.5734","0.5687","0.5695"
02/25/2025,"0.5732","0.5740","0.5705","0.5725"
02/24/2025,"0.5742","0.5771","0.5729","0.5733"
02/21/2025,"0.5763","0.5774","0.5735","0.5740"
02/20/2025,"0.5705","0.5768","0.5694","0.5762"
02/19/2025,"0.5705","0.5733","0.5678","0.5704"
02/18/2025,"0.5737","0.5739","0.5694","0.5704"
02/17/2025,"0.5734","0.5750","0.5718","0.5736"
02/14/2025,"0.5679","0.5739","0.5665","0.5730"
02/13/2025,"0.5642","0.5680","0.5622","0.5677"
02/12/2025,"0.5656","0.5673","0.5601","0.5641"
02/11/2025,"0.5642","0.5662","0.5629","0.5654"
02/10/2025,"0.5660","0.5665","0.5635","0.5641"
02/07/2025,"0.5681","0.5691","0.5640","0.5659"
02/06/2025,"0.5687","0.5692","0.5651","0.5675"
02/05/2025,"0.5648","0.5702","0.5646","0.5688"
02/04/2025,"0.5631","0.5656","0.5582","0.5652"
02/03/2025,"0.5638","0.5640","0.5516","0.5630"
01/31/2025,"0.5633","0.5685","0.5625","0.5637"
01/30/2025,"0.5658","0.5668","0.5623","0.5635"
01/29/2025,"0.5669","0.5671","0.5634","0.5659"
01/28/2025,"0.5690","0.5693","0.5648","0.5667"
01/27/2025,"0.5712","0.5712","0.5676","0.5692"
01/24/2025,"0.5674","0.5724","0.5671","0.5710"
01/23/2025,"0.5665","0.5687","0.5647","0.5675"
01/22/2025,"0.5674","0.5688","0.5621","0.5664"
01/21/2025,"0.5673","0.5689","0.5616","0.5679"
01/20/2025,"0.5583","0.5685","0.5579","0.5672"
01/17/2025,"0.5606","0.5616","0.5563","0.5589"
01/16/2025,"0.5618","0.5637","0.5583","0.5608"
01/15/2025,"0.5605","0.5650","0.5596","0.5615"
01/14/2025,"0.5584","0.5632","0.5581","0.5604"
01/13/2025,"0.5561","0.5585","0.5541","0.5583"
01/10/2025,"0.5597","0.5603","0.5543","0.5556"
01/09/2025,"0.5611","0.5615","0.5572","0.5600"
01/08/2025,"0.5636","0.5643","0.5589","0.5610"
01/07/2025,"0.5642","0.5693","0.5632","0.5635"
01/06/2025,"0.5577","0.5686","0.5577","0.5643"
01/03/2025,"0.5593","0.5615","0.5591","0.5612"
01/02/2025,"0.5595","0.5625","0.5586","0.5595"
01/01/2025,"0.5594","0.5610","0.5592","0.5599"
12/31/2024,"0.5640","0.5648","0.5587","0.5594"
12/30/2024,"0.5636","0.5665","0.5627","0.5639"
12/27/2024,"0.5624","0.5646","0.5613","0.5632"
12/26/2024,"0.5655","0.5661","0.5620","0.5623"
12/25/2024,"0.5650","0.5662","0.5555","0.5654"
12/24/2024,"0.5650","0.5659","0.5633","0.5649"
12/23/2024,"0.5657","0.5662","0.5631","0.5649"
12/20/2024,"0.5628","0.5674","0.5613","0.5655"
12/19/2024,"0.5623","0.5662","0.5607","0.5630"
12/18/2024,"0.5753","0.5767","0.5620","0.5624"
12/17/2024,"0.5782","0.5794","0.5749","0.5754"
12/16/2024,"0.5763","0.5787","0.5757","0.5781"
12/13/2024,"0.5770","0.5868","0.5753","0.5764"
12/12/2024,"0.5785","0.5818","0.5762","0.5769"
12/11/2024,"0.5800","0.5809","0.5761","0.5784"
12/10/2024,"0.5866","0.5869","0.5791","0.5799"
12/09/2024,"0.5830","0.5889","0.5804","0.5864"
12/06/2024,"0.5886","0.5890","0.5821","0.5830"
12/05/2024,"0.5850","0.5889","0.5848","0.5887"
12/04/2024,"0.5881","0.5886","0.5829","0.5851"
12/03/2024,"0.5876","0.5923","0.5864","0.5882"
12/02/2024,"0.5834","0.5922","0.5834","0.5889"
11/29/2024,"0.5894","0.5930","0.5834","0.5918"
11/28/2024,"0.5895","0.5906","0.5880","0.5889"
11/27/2024,"0.5835","0.5909","0.5827","0.5896"
11/26/2024,"0.5844","0.5867","0.5796","0.5834"
11/25/2024,"0.5835","0.5870","0.5835","0.5845"
11/22/2024,"0.5861","0.5862","0.5816","0.5834"
11/21/2024,"0.5877","0.5887","0.5849","0.5859"
11/20/2024,"0.5911","0.5923","0.5864","0.5876"
11/19/2024,"0.5894","0.5915","0.5875","0.5912"
11/18/2024,"0.5857","0.5899","0.5836","0.5893"
11/15/2024,"0.5845","0.5882","0.5840","0.5877"
11/14/2024,"0.5881","0.5886","0.5840","0.5850"
11/13/2024,"0.5927","0.5948","0.5876","0.5880"
11/12/2024,"0.5963","0.5973","0.5909","0.5926"
11/11/2024,"0.5965","0.5979","0.5951","0.5964"
11/08/2024,"0.6025","0.6030","0.5947","0.5967"
11/07/2024,"0.5939","0.6038","0.5930","0.6026"
11/06/2024,"0.6007","0.6021","0.5912","0.5938"
11/05/2024,"0.5974","0.6025","0.5966","0.6006"
11/04/2024,"0.5964","0.6016","0.5964","0.5973"
11/01/2024,"0.5976","0.5999","0.5958","0.5963"
10/31/2024,"0.5973","0.5984","0.5939","0.5977"
10/30/2024,"0.5974","0.6002","0.5951","0.5974"
10/29/2024,"0.5982","0.5991","0.5953","0.5973"
10/28/2024,"0.5975","0.5999","0.5957","0.5981"
10/25/2024,"0.6014","0.6022","0.5973","0.5977"
10/24/2024,"0.6006","0.6033","0.5997","0.6015"
10/23/2024,"0.6043","0.6058","0.5991","0.6005"
10/22/2024,"0.6043","0.6062","0.6021","0.6044"
10/21/2024,"0.6067","0.6085","0.6028","0.6031"
10/18/2024,"0.6060","0.6080","0.6053","0.6073"
10/17/2024,"0.6056","0.6077","0.6044","0.6061"
10/16/2024,"0.6083","0.6094","0.6040","0.6059"
10/15/2024,"0.6093","0.6107","0.6073","0.6084"
10/14/2024,"0.6109","0.6109","0.6070","0.6097"
10/11/2024,"0.6089","0.6121","0.6083","0.6110"
10/10/2024,"0.6064","0.6099","0.6058","0.6094"
10/09/2024,"0.6139","0.6145","0.6052","0.6063"
10/08/2024,"0.6125","0.6146","0.6108","0.6138"
10/07/2024,"0.6160","0.6174","0.6112","0.6126"
10/04/2024,"0.6214","0.6221","0.6145","0.6157"
10/03/2024,"0.6263","0.6289","0.6210","0.6213"
10/02/2024,"0.6282","0.6315","0.6257","0.6262"
10/01/2024,"0.6349","0.6350","0.6264","0.6281"
09/30/2024,"0.6341","0.6377","0.6332","0.6350"
09/27/2024,"0.6328","0.6369","0.6296","0.6341"
09/26/2024,"0.6263","0.6333","0.6252","0.6327"
09/25/2024,"0.6339","0.6356","0.6259","0.6262"
09/24/2024,"0.6267","0.6344","0.6258","0.6340"
09/23/2024,"0.6234","0.6281","0.6225","0.6268"
09/20/2024,"0.6239","0.6262","0.6209","0.6238"
09/19/2024,"0.6208","0.6270","0.6181","0.6238"
09/18/2024,"0.6183","0.6269","0.6181","0.6209"
09/17/2024,"0.6198","0.6212","0.6175","0.6185"
09/16/2024,"0.6152","0.6203","0.6152","0.6202"
09/13/2024,"0.6182","0.6195","0.6137","0.6155"
09/12/2024,"0.6137","0.6186","0.6127","0.6184"
09/11/2024,"0.6148","0.6158","0.6097","0.6138"
09/10/2024,"0.6146","0.6166","0.6132","0.6150"
09/09/2024,"0.6175","0.6188","0.6124","0.6145"
09/06/2024,"0.6221","0.6254","0.6156","0.6175"
09/05/2024,"0.6199","0.6227","0.6178","0.6224"
09/04/2024,"0.6186","0.6218","0.6169","0.6198"
09/03/2024,"0.6241","0.6303","0.6179","0.6187"
09/02/2024,"0.6247","0.6265","0.6220","0.6236"
08/30/2024,"0.6258","0.6275","0.6230","0.6249"
08/29/2024,"0.6245","0.6300","0.6241","0.6259"
08/28/2024,"0.6252","0.6254","0.6224","0.6244"
08/27/2024,"0.6206","0.6256","0.6194","0.6253"
08/26/2024,"0.6235","0.6235","0.6197","0.6205"
08/23/2024,"0.6140","0.6238","0.6108","0.6235"
08/22/2024,"0.6158","0.6171","0.6128","0.6139"
08/21/2024,"0.6154","0.6240","0.6132","0.6157"
08/20/2024,"0.6105","0.6158","0.6097","0.6155"
08/19/2024,"0.6054","0.6118","0.6037","0.6104"
08/16/2024,"0.5987","0.6057","0.5978","0.6055"
08/15/2024,"0.5998","0.6016","0.5974","0.5984"
08/14/2024,"0.6077","0.6085","0.5994","0.5997"
08/13/2024,"0.6018","0.6082","0.6016","0.6079"
08/12/2024,"0.5997","0.6033","0.5989","0.6017"
08/09/2024,"0.6006","0.6036","0.5993","0.6000"
